symbol,date,open,high,low,close,volume,adjusted
^DJI;,18/07/2019,27191.98,27266.81,27068.79,27222.97,216070000.00,27222.97
^DJI;,19/07/2019,27246.38,27342.96,27145.78,27154.20,287690000.00,27154.20
^DJI;,22/07/2019,27174.18,27227.77,27088.90,27171.90,216310000.00,27171.90
^DJI;,23/07/2019,27231.86,27368.81,27204.58,27349.19,248850000.00,27349.19
^DJI;,24/07/2019,27262.24,27291.04,27191.12,27269.97,244320000.00,27269.97
^DJI;,25/07/2019,27247.39,27298.43,27062.48,27140.98,241420000.00,27140.98
^DJI;,26/07/2019,27166.00,27213.70,27123.25,27192.45,233650000.00,27192.45
^DJI;,29/07/2019,27192.24,27275.85,27178.06,27221.35,250850000.00,27221.35
^DJI;,30/07/2019,27145.39,27224.36,27069.86,27198.02,293250000.00,27198.02
^DJI;,31/07/2019,27244.67,27281.65,26719.60,26864.27,385150000.00,26864.27
^DJI;,01/08/2019,26879.86,27175.59,26548.71,26583.42,386320000.00,26583.42
^DJI;,02/08/2019,26528.66,26570.02,26249.22,26485.01,327640000.00,26485.01
^DJI;,05/08/2019,26259.23,26259.23,25523.38,25717.74,422240000.00,25717.74
^DJI;,06/08/2019,25810.62,26038.68,25710.87,26029.52,318160000.00,26029.52
^DJI;,07/08/2019,25814.22,26073.21,25440.39,26007.07,344790000.00,26007.07
^DJI;,08/08/2019,26086.52,26383.61,26038.10,26378.19,282530000.00,26378.19
^DJI;,09/08/2019,26337.09,26413.36,26097.64,26287.44,240260000.00,26287.44
^DJI;,12/08/2019,26169.91,26178.95,25824.94,25896.44,199390000.00,25896.44
^DJI;,13/08/2019,25888.88,26426.97,25833.25,26279.91,308900000.00,26279.91
^DJI;,14/08/2019,26035.08,26035.08,25471.59,25479.42,352250000.00,25479.42
^DJI;,15/08/2019,25514.25,25639.69,25339.60,25579.39,332600000.00,25579.39
^DJI;,16/08/2019,25678.17,25929.65,25678.17,25886.01,276210000.00,25886.01
^DJI;,19/08/2019,26020.06,26222.32,26020.06,26135.79,252640000.00,26135.79
^DJI;,20/08/2019,26086.86,26160.12,25952.00,25962.44,238100000.00,25962.44
^DJI;,21/08/2019,26145.36,26268.32,26141.77,26202.73,208790000.00,26202.73
^DJI;,22/08/2019,26271.64,26388.78,26099.01,26252.24,222810000.00,26252.24
^DJI;,23/08/2019,26134.21,26320.29,25507.18,25628.90,364260000.00,25628.90
^DJI;,26/08/2019,25826.05,25941.25,25716.39,25898.83,222780000.00,25898.83
^DJI;,27/08/2019,26014.46,26054.02,25721.85,25777.90,263530000.00,25777.90
^DJI;,28/08/2019,25712.99,26041.57,25637.43,26036.10,207070000.00,26036.10
^DJI;,29/08/2019,26249.09,26408.84,26185.71,26362.25,208650000.00,26362.25
^DJI;,30/08/2019,26476.39,26514.62,26295.59,26403.28,216160000.00,26403.28
^DJI;,03/09/2019,26198.26,26198.26,25978.22,26118.02,223210000.00,26118.02
^DJI;,04/09/2019,26301.99,26362.35,26244.44,26355.47,202710000.00,26355.47
^DJI;,05/09/2019,26603.15,26836.30,26603.15,26728.15,256670000.00,26728.15
^DJI;,06/09/2019,26790.25,26860.87,26708.39,26797.46,209700000.00,26797.46
^DJI;,09/09/2019,26866.23,26900.83,26762.18,26835.51,273120000.00,26835.51
^DJI;,10/09/2019,26805.83,26909.43,26717.05,26909.43,322340000.00,26909.43
^DJI;,11/09/2019,26928.05,27137.04,26885.48,27137.04,272590000.00,27137.04
^DJI;,12/09/2019,27197.32,27306.73,27105.01,27182.45,250010000.00,27182.45
^DJI;,13/09/2019,27216.67,27277.55,27193.95,27219.52,255260000.00,27219.52
^DJI;,16/09/2019,27146.06,27172.87,27032.56,27076.82,220620000.00,27076.82
^DJI;,17/09/2019,27010.12,27110.80,26984.14,27110.80,223580000.00,27110.80
^DJI;,18/09/2019,27075.39,27161.93,26899.15,27147.08,212860000.00,27147.08
^DJI;,19/09/2019,27186.05,27272.17,27064.21,27094.79,212360000.00,27094.79
^DJI;,20/09/2019,27102.18,27194.75,26926.68,26935.07,497640000.00,26935.07
^DJI;,23/09/2019,26851.45,27011.07,26831.34,26949.99,204240000.00,26949.99
^DJI;,24/09/2019,27034.07,27079.68,26704.96,26807.77,301750000.00,26807.77
^DJI;,25/09/2019,26866.71,27016.56,26755.86,26970.71,237220000.00,26970.71
^DJI;,26/09/2019,27004.11,27015.07,26803.84,26891.12,229180000.00,26891.12
^DJI;,27/09/2019,26987.26,27012.54,26715.82,26820.25,217780000.00,26820.25
^DJI;,30/09/2019,26852.33,26998.86,26852.33,26916.83,222680000.00,26916.83
^DJI;,01/10/2019,26962.54,27046.21,26562.22,26573.04,260110000.00,26573.04
^DJI;,02/10/2019,26425.86,26438.04,25974.12,26078.62,309640000.00,26078.62
^DJI;,03/10/2019,26039.02,26205.20,25743.46,26201.04,241610000.00,26201.04
^DJI;,04/10/2019,26271.70,26590.74,26271.70,26573.72,221310000.00,26573.72
^DJI;,07/10/2019,26502.33,26655.84,26424.54,26478.02,195200000.00,26478.02
^DJI;,08/10/2019,26276.59,26421.81,26139.80,26164.04,244590000.00,26164.04
^DJI;,09/10/2019,26308.23,26424.31,26249.75,26346.01,190060000.00,26346.01
^DJI;,10/10/2019,26317.35,26603.31,26314.51,26496.67,217680000.00,26496.67
^DJI;,11/10/2019,26694.20,27013.97,26694.20,26816.59,282080000.00,26816.59
^DJI;,14/10/2019,26766.43,26874.33,26749.18,26787.36,178620000.00,26787.36
^DJI;,15/10/2019,26811.20,27120.11,26811.20,27024.80,245510000.00,27024.80
^DJI;,16/10/2019,26972.31,27058.34,26943.29,27001.98,214660000.00,27001.98
^DJI;,17/10/2019,27032.38,27112.16,26970.29,27025.88,222540000.00,27025.88
^DJI;,18/10/2019,27004.49,27018.25,26770.13,26770.20,288970000.00,26770.20
^DJI;,21/10/2019,26852.67,26852.67,26747.62,26827.64,241030000.00,26827.64
^DJI;,22/10/2019,26850.43,26946.64,26782.61,26788.10,265510000.00,26788.10
^DJI;,23/10/2019,26835.24,26896.89,26745.00,26833.95,247680000.00,26833.95
^DJI;,24/10/2019,26893.93,26931.78,26714.34,26805.53,253590000.00,26805.53
^DJI;,25/10/2019,26789.61,27015.37,26765.68,26958.06,274610000.00,26958.06
^DJI;,28/10/2019,27040.33,27167.88,27028.71,27090.72,290770000.00,27090.72
^DJI;,29/10/2019,27061.07,27165.94,27039.76,27071.46,269610000.00,27071.46
^DJI;,30/10/2019,27110.71,27204.36,26999.64,27186.69,231750000.00,27186.69
^DJI;,31/10/2019,27188.37,27188.37,26918.29,27046.23,273830000.00,27046.23
^DJI;,01/11/2019,27142.95,27347.43,27142.95,27347.36,270870000.00,27347.36
^DJI;,04/11/2019,27402.06,27517.58,27402.06,27462.11,273030000.00,27462.11
^DJI;,05/11/2019,27500.23,27560.36,27453.55,27492.63,286350000.00,27492.63
^DJI;,06/11/2019,27502.74,27526.05,27407.81,27492.56,237910000.00,27492.56
^DJI;,07/11/2019,27590.16,27774.67,27590.16,27674.80,259020000.00,27674.80
^DJI;,08/11/2019,27686.20,27694.95,27578.97,27681.24,221440000.00,27681.24
^DJI;,11/11/2019,27580.66,27714.39,27517.67,27691.49,202350000.00,27691.49
^DJI;,12/11/2019,27701.59,27770.86,27635.32,27691.49,213670000.00,27691.49
^DJI;,13/11/2019,27622.04,27806.40,27587.20,27783.59,278390000.00,27783.59
^DJI;,14/11/2019,27757.20,27800.71,27676.97,27781.96,303970000.00,27781.96
^DJI;,15/11/2019,27843.54,28004.89,27843.54,28004.89,283720000.00,28004.89
^DJI;,18/11/2019,27993.22,28040.97,27969.24,28036.22,252320000.00,28036.22
^DJI;,19/11/2019,28079.76,28090.21,27894.52,27934.02,245890000.00,27934.02
^DJI;,20/11/2019,27879.55,27897.28,27675.28,27821.09,258140000.00,27821.09
^DJI;,21/11/2019,27820.28,27828.33,27708.34,27766.29,232020000.00,27766.29
^DJI;,22/11/2019,27831.23,27898.46,27773.98,27875.62,214780000.00,27875.62
^DJI;,25/11/2019,27917.77,28068.69,27917.77,28066.47,248420000.00,28066.47
^DJI;,26/11/2019,28080.75,28146.02,28042.21,28121.68,324050000.00,28121.68
^DJI;,27/11/2019,28156.47,28174.97,28075.23,28164.00,198210000.00,28164.00
^DJI;,29/11/2019,28103.16,28119.51,28042.53,28051.41,120630000.00,28051.41
^DJI;,02/12/2019,28109.74,28109.84,27782.35,27783.04,236610000.00,27783.04
^DJI;,03/12/2019,27501.98,27524.74,27325.13,27502.81,275350000.00,27502.81
^DJI;,04/12/2019,27634.63,27727.45,27612.08,27649.78,218200000.00,27649.78
^DJI;,05/12/2019,27736.05,27745.20,27562.80,27677.79,208600000.00,27677.79
^DJI;,06/12/2019,27839.68,28035.85,27839.68,28015.06,223310000.00,28015.06
^DJI;,09/12/2019,27987.05,28010.42,27906.14,27909.60,217000000.00,27909.60
^DJI;,10/12/2019,27900.65,27949.02,27804.00,27881.72,213250000.00,27881.72
^DJI;,11/12/2019,27867.31,27925.50,27801.80,27911.30,213510000.00,27911.30
^DJI;,12/12/2019,27898.34,28224.95,27859.87,28132.05,277740000.00,28132.05
^DJI;,13/12/2019,28123.64,28290.73,28028.32,28135.38,250660000.00,28135.38
^DJI;,16/12/2019,28191.67,28337.49,28191.67,28235.89,286770000.00,28235.89
^DJI;,17/12/2019,28221.75,28328.63,28220.56,28267.16,286770000.00,28267.16
^DJI;,18/12/2019,28291.44,28323.25,28239.28,28239.28,289890000.00,28239.28
^DJI;,19/12/2019,28278.31,28381.48,28278.24,28376.96,262570000.00,28376.96
^DJI;,20/12/2019,28608.64,28608.64,28445.60,28455.09,603780000.00,28455.09
^DJI;,23/12/2019,28491.78,28582.49,28491.78,28551.53,223530000.00,28551.53
^DJI;,24/12/2019,28572.57,28576.80,28503.21,28515.45,86150000.00,28515.45
^DJI;,26/12/2019,28539.46,28624.10,28535.15,28621.39,155970000.00,28621.39
^DJI;,27/12/2019,28675.34,28701.66,28608.98,28645.26,182280000.00,28645.26
^DJI;,30/12/2019,28654.76,28664.69,28428.98,28462.14,181600000.00,28462.14
^DJI;,31/12/2019,28414.64,28547.35,28376.49,28538.44,193340000.00,28538.44
^DJI;,02/01/2020,28638.97,28872.80,28627.77,28868.80,251820000.00,28868.80
^DJI;,03/01/2020,28553.33,28716.31,28500.36,28634.88,239590000.00,28634.88
^DJI;,06/01/2020,28465.50,28708.02,28418.63,28703.38,252760000.00,28703.38
^DJI;,07/01/2020,28639.18,28685.50,28565.28,28583.68,258900000.00,28583.68
^DJI;,08/01/2020,28556.14,28866.18,28522.51,28745.09,291750000.00,28745.09
^DJI;,09/01/2020,28851.97,28988.01,28844.31,28956.90,275060000.00,28956.90
^DJI;,10/01/2020,28977.52,29009.07,28789.10,28823.77,237830000.00,28823.77
^DJI;,13/01/2020,28869.01,28909.91,28819.43,28907.05,249830000.00,28907.05
^DJI;,14/01/2020,28895.50,29054.16,28872.27,28939.67,287440000.00,28939.67
^DJI;,15/01/2020,28901.80,29127.59,28897.35,29030.22,260270000.00,29030.22
^DJI;,16/01/2020,29131.95,29300.32,29131.95,29297.64,252110000.00,29297.64
^DJI;,17/01/2020,29313.31,29373.62,29289.91,29348.10,321820000.00,29348.10
^DJI;,21/01/2020,29269.05,29341.21,29146.47,29196.04,320640000.00,29196.04
^DJI;,22/01/2020,29263.63,29320.20,29172.26,29186.27,283440000.00,29186.27
^DJI;,23/01/2020,29111.02,29190.47,28966.98,29160.09,307060000.00,29160.09
^DJI;,24/01/2020,29230.39,29288.79,28843.31,28989.73,380010000.00,28989.73
^DJI;,27/01/2020,28542.49,28671.79,28440.47,28535.80,337270000.00,28535.80
^DJI;,28/01/2020,28594.28,28823.23,28575.75,28722.85,330140000.00,28722.85
^DJI;,29/01/2020,28820.53,28944.24,28728.19,28734.45,302290000.00,28734.45
^DJI;,30/01/2020,28640.16,28879.71,28489.76,28859.44,326850000.00,28859.44
^DJI;,31/01/2020,28813.04,28813.04,28169.53,28256.03,403890000.00,28256.03
^DJI;,03/02/2020,28319.65,28630.39,28319.65,28399.81,307910000.00,28399.81
^DJI;,04/02/2020,28696.74,28904.88,28696.74,28807.63,332750000.00,28807.63
^DJI;,05/02/2020,29048.73,29308.89,29000.85,29290.85,357540000.00,29290.85
^DJI;,06/02/2020,29388.58,29408.05,29246.93,29379.77,263700000.00,29379.77
^DJI;,07/02/2020,29286.92,29286.92,29056.98,29102.51,252860000.00,29102.51
^DJI;,10/02/2020,28995.66,29278.07,28995.66,29276.82,250510000.00,29276.82
^DJI;,11/02/2020,29390.71,29415.39,29210.47,29276.34,279540000.00,29276.34
^DJI;,12/02/2020,29406.75,29568.57,29406.75,29551.42,309530000.00,29551.42
^DJI;,13/02/2020,29436.03,29535.40,29345.93,29423.31,291150000.00,29423.31
^DJI;,14/02/2020,29440.47,29463.04,29283.18,29398.08,231000000.00,29398.08
^DJI;,18/02/2020,29282.78,29330.16,29116.81,29232.19,256600000.00,29232.19
^DJI;,19/02/2020,29312.70,29409.09,29274.38,29348.03,240640000.00,29348.03
^DJI;,20/02/2020,29296.25,29368.45,28959.65,29219.98,287780000.00,29219.98
^DJI;,21/02/2020,29146.53,29146.53,28892.70,28992.41,311210000.00,28992.41
^DJI;,24/02/2020,28402.93,28402.93,27912.44,27960.80,452580000.00,27960.80
^DJI;,25/02/2020,28037.65,28149.20,26997.62,27081.36,513270000.00,27081.36
^DJI;,26/02/2020,27159.46,27542.78,26890.97,26957.59,472450000.00,26957.59
^DJI;,27/02/2020,26526.00,26775.31,25752.82,25766.64,664980000.00,25766.64
^DJI;,28/02/2020,25270.83,25494.24,24681.01,25409.36,915990000.00,25409.36
^DJI;,02/03/2020,25590.51,26706.17,25391.96,26703.32,637200000.00,26703.32
^DJI;,03/03/2020,26762.47,27084.59,25706.28,25917.41,647080000.00,25917.41
^DJI;,04/03/2020,26383.68,27102.34,26286.31,27090.86,457590000.00,27090.86
^DJI;,05/03/2020,26671.92,26671.92,25943.33,26121.28,477370000.00,26121.28
^DJI;,06/03/2020,25457.21,25994.38,25226.62,25864.78,599780000.00,25864.78
^DJI;,09/03/2020,24992.36,24992.36,23706.07,23851.02,750430000.00,23851.02
^DJI;,10/03/2020,24453.00,25020.99,23690.34,25018.16,654860000.00,25018.16
^DJI;,11/03/2020,24604.63,24604.63,23328.32,23553.22,663960000.00,23553.22
^DJI;,12/03/2020,22184.71,22837.95,21154.46,21200.62,908260000.00,21200.62
^DJI;,13/03/2020,21973.82,23189.76,21285.37,23185.62,843080000.00,23185.62
^DJI;,16/03/2020,20917.53,21768.28,20116.46,20188.52,770130000.00,20188.52
^DJI;,17/03/2020,20487.05,21379.35,19882.26,21237.38,793060000.00,21237.38
^DJI;,18/03/2020,20188.69,20489.33,18917.46,19898.92,871360000.00,19898.92
^DJI;,19/03/2020,19830.01,20442.63,19177.13,20087.19,780300000.00,20087.19
^DJI;,20/03/2020,20253.15,20531.26,19094.27,19173.98,872290000.00,19173.98
^DJI;,23/03/2020,19028.36,19121.01,18213.65,18591.93,787970000.00,18591.93
^DJI;,24/03/2020,19722.19,20737.70,19649.25,20704.91,799340000.00,20704.91
^DJI;,25/03/2020,21050.34,22019.93,20538.34,21200.55,796320000.00,21200.55
^DJI;,26/03/2020,21468.38,22595.06,21427.10,22552.17,705180000.00,22552.17
